,job_title,company_name,location,salary,description
1,Machine Learning Model Building (For OCR Tool),IIT Bombay,Mumbai,3000-5000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on data cleaning, pre-processing, and image collection
2. Write well designed, testable, efficient code by using best software development practices
4. Engage in Docker container creation and deployment
5. Stay plugged into emerging technologies/industry trends and applying them to operations and activities
6. Develop the next generation OCR technology to allow our users to generate line-wise bounding boxes for the scanned documents
7. Develop an ML model to perform OCR on Indic languages (Sanskrit, Hindi, and Marathi)
8. Occasionally work on the pipeline of OCR text correction to understand the ground scenario (converting scanned text to digital text with manual correction of OCRed text)
9. Debug and resolve issues using open communities like Stack Overflow and GitHub"
2,Deep Learning,IIT Bombay,Work From Home,2000-4000 /month,"Selected intern's day-to-day responsibilities include: 

1. Conducting research by implementing machine learning/deep learning models
2. Handling management of dataset, training, testing, and analysis of models
3. Reading and writing research papers
4. Performing various experiments and analysis
5. Writing technical reports
6. Prototyping solutions
7. Building systems around the deep learning models
8. Building infrastructures for the deep learning-based systems
9. Working on real-world problems and working with IITB Ph.D. students"
3,Machine Learning,"Getboarded Technologies, LDA",Work From Home,2000 /month,"Selected intern's day-to-day responsibilities include: 

1. Working on code compliance for Python, NumPy, Tensorflow, and Keras 
2. Building reusable code and libraries for future use and has sound logic to find the best coding practices and implementing them. 
3. Ensuring a clear dependency chain in regards to the application logic and included components. 
4. Optimizing applications for maximum speed and scalability 
5. Working on Matplotlib for providing visualizations
6. Programming and developing API using open source frameworks Django 
7. Working on backend API development and Git versioning"
4,Machine Learning,TorqueVision Labs LLC,Indore,5000 /month,"Selected intern's day-to-day responsibilities include: 

1. Working on computer vision, deep learning, and machine learning
2. Working on libraries like Opencv, Keras, & Pandas"
5,Communication,India Sanitation Coalition,Delhi,10000 /month,"Selected intern's day-to-day responsibilities include: 

1.    Support to the ISC Secretariat in conducting and execution of Annual ISC-FICCI Sanitation Awards and Support in organizing India Sanitation Conclave 
2.    Work on logistics and other backend support to the ISC Secretariat in organizing other events like workshops and roundtables 
3.    Support to ISC Secretariat in other day to day activities"
6,Content Analysis,Sprinklr Private Limited,Bangalore,20000 /month,"Selected intern's day-to-day responsibilities include: 

1. Work on analyzing and preparing suitable data that is required for machine learning/AI models
2. Work on understanding the model training structure and modify data accordingly
3. Work on researching industry trends and best practices to prepare the data requirement framework
4. Work closely with annotators from across the globe to ensure the quality of work
5. Work on finding patterns to improve the data annotation quality which can, in turn, lead to model accuracy
6. Work closely with product managers and data scientists to understand requirements and execute data preparation projects"
7,Data Science,Solera Life Science Private Limited,Work From Home,4000-6000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on applied text mining/processing
2. Work on natural language processing
3. Work on training an ML model 
4. Work on chatbots, sentiment extraction from text
5. Make scrapers using Selenium, BS, and Scrapy"
8,Data Analytics,Parliamentary Business,Delhi,5000 /month,Selected intern's day-to-day responsibilities include collecting data from other websites and maintaining them into database software.
9,Business Strategy & Analytics,RedCarpetUp,Work From Home,20000-25000 /month,"As a business strategy and analytics intern, you will work with a team that is charged with linking technology to the business goal. This extends from increasing the profitability of existing product features to developing new features for our fintech product. 

Selected intern's day-to-day responsibilities include:

1. Work with senior executives to drive important strategy decisions
2. Work with an engineering and data science counterpart
3. Think of business problems and write code to analyze it
4. Make sense out of raw data in databases"
10,Machine Learning (AutoEncoder & Gans),Naaniz,Work From Home,1000 /month,"Our company is working with a lot of online restaurant partners. We need the intern to take relevant information while the order is progressed and segregate data into the various fields and send relevant SMS to the customer to grow the sale.

Selected intern's day-to-day responsibilities include: 

1. Implementing machine learning models for our new project
2. Working with our core concept and taking it to the next level"
11,Mobile App Development,PractoMind Solutions,Work From Home,2000 /month,"Selected intern's day-to-day responsibilities include: 

1. Work on Android application development and handling some applications
2. Work on optimization
3. Handle machine learning language training"
12,Machine Learning,Codersarts,Gurgaon,10000 /month,"Selected intern's day-to-day responsibilities include: 

1. Designing and implementing machine learning, information extraction, probabilistic matching algorithms and models
2. Using your passion for programming and deep learning/AI skills using Python, TensorFlow and deep learning frameworks like Keras, PyTorch - to solve real-life problems
3. Developing AI solutions in the computer vision domain using convolutional neural networks (CNN) and a combination of deep neural networks such as CNN & RNN
4. Solving object detection, recognition, image classification problems using machine learning and deep learning algorithms & transfer learning methods and techniques
5. Using innovative & automated approaches for data annotation, labeling, and data augmentation & use active learning.
6. Handling online code assistance, code mentoring, and education-based solutions"
13,Data Analytics,SagasIT Analytics,Work From Home,18000 /month,"Selected intern's day-to-day responsibilities include: 

1. Work on live customer projects using one or more of Python, R, Tableau, and Power BI. This includes data engineering, data science and data visualization
2. Demonstrate an ability to understand and appreciate data 
3. Understand the domain that the customer operates in
4. Handle any other work that is necessary for the project/organization including learning other visualization tools"
14,Data Science,Blackcoffer,Work From Home,3000-8000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on data technologies, data mining, data transformation, and data analysis 
2. Develop data models on Python, web scrapers, crawler, parser, etc. to solve big data problems
3. Develop data technologies like web crawlers, parser, and scrapers to solve the toughest problem of the world
4. Work on sentiment analysis, data scraping, parsing, and web mining 
5. Work on ELT, ETL, data integration, data lake management, and analysis"
15,Data Analytics,Prashaste Education And Management Consultancy Private Limited,Hyderabad,12000-15000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on executing multiple client engagements as part of a team
2. Work on managing and analyzing large datasets and generate business insights
3. Build expertise in various client offerings across multiple sectors
4. Work on contributing to the internal learning and mentorship programs
5. Work on generating MIS, analytics and trackers for income
6. Work on outstanding, collection, payments, reconciliation of reimbursements received and paid, raising of invoices and follow up with clients for payments, reconciliation of claims/invoices of vendors, associates and employees"
